r3Ptstat,3PtStat,collegeServicableShooter,age,height,Oposs,avgPosition,avgRole,PlusMinus,usg,efg,ts,dunks,dunkAtts,close2,close2Atts,close2Pct,far2,far2Atts,far2Pct,ft,ftAtts,ftPct,2p,2pAtt,2pPct,3pr,3p,3Pp100,3pAtts,3PAp100,3pPct,N1Sage,N1Susg,N1Sefg,N1Sts,N1Sdunks,N1SdunkAtts,N1Sclose2,N1Sclose2Atts,N1Sclose2Pct,N1Sfar2,N1Sfar2Atts,N1Sfar2Pct,N1Sft,N1SftAtts,N1SftPct,N1S2p,N1S2pAtt,N1S2pPct,N1S3pr,N1S3p,N1S3pAtts,N1S3pPct,N2Sage,N2Susg,N2Sefg,N2Sts,N2Sdunks,N2SdunkAtts,N2Sclose2,N2Sclose2Atts,N2Sclose2Pct,N2Sfar2,N2Sfar2Atts,N2Sfar2Pct,N2Sft,N2SftAtts,N2SftPct,N2S2p,N2S2pAtt,N2S2pPct,N2S3pr,N2S3p,N2S3pAtts,N2S3pPct,OBPR,BPR,Box OBPR,Box BPR,AdjTeamOffEff,AdjTeamEffmargin
0.749664725,0,FALSE,19,80,1520,3.9,2.9,278,21.4,49.6,54.7,28,33,88,129,0.682,45,135,0.333,120,178,0.674,133,263,0.506,1.9,0,0,5,0.328947368,0,19,21.4,49.6,54.7,28,33,88,129,0.682,45,135,0.333,120,178,0.674,133,263,0.506,1.9,0,5,0,19,21.4,49.6,54.7,28,33,88,129,0.682,45,135,0.333,120,178,0.674,133,263,0.506,1.9,0,5,0,2.43,5.4,2.09,3.03,110.4,17.3
0.387659645,0,FALSE,19,82,1597,5,1.9,213,29.2,62.2,65.8,59,62,168,223,0.753,66,149,0.443,164,220,0.745,234,375,0.624,0.3,0,0,1,0.062617408,0,19,29.2,62.2,65.8,59,62,168,223,0.753,66,149,0.443,164,220,0.745,234,375,0.624,0.3,0,1,0,19,29.2,62.2,65.8,59,62,168,223,0.753,66,149,0.443,164,220,0.745,234,375,0.624,0.3,0,1,0,4.98,6.34,4.5,6.19,119.5,11.9
0,0,FALSE,20,85,1571,5,2.3,276,18.6,71.8,72.4,96,101,171,219,0.781,20,46,0.435,56,77,0.727,191,265,0.721,0.4,0,0,1,0.063653724,0,20,18.6,71.8,72.4,96,101,171,219,0.781,20,46,0.435,56,77,0.727,191,265,0.721,0.4,0,1,0,20,18.6,71.8,72.4,96,101,171,219,0.781,20,46,0.435,56,77,0.727,191,265,0.721,0.4,0,1,0,4.46,6.02,3.88,5.94,122.2,28.2
0.847806641,0.204391277,FALSE,19,82,1322,3.7,3.6,271,20.6,49.6,54.3,28,30,69,88,0.784,44,123,0.358,75,102,0.735,113,211,0.536,12.1,4,0.302571861,29,2.193645991,0.138,19,20.6,49.6,54.3,28,30,69,88,0.784,44,123,0.358,75,102,0.735,113,211,0.536,12.1,4,29,0.138,19,20.6,49.6,54.3,28,30,69,88,0.784,44,123,0.358,75,102,0.735,113,211,0.536,12.1,4,29,0.138,3.4,6.62,2.52,3.65,110.7,19.7
0,0.128025948,FALSE,22,81,1881,4.9,2.8,344,19.2,64,65.5,50,55,131,178,0.736,36,75,0.48,77,111,0.694,168,254,0.661,4.9,2,0.106326422,13,0.691121744,0.154,21,18.7,57.5,57.1,21,30,72,108,0.667,16,43,0.372,27,52,0.519,88,151,0.583,1.3,0,2,0,20,12.4,59.5,59,31,34,74,99,0.747,4,31,0.129,11,22,0.5,78,131,0.595,0,0,0,0,2.94,5.96,2.97,5.07,113.5,17
0.906423135,0.134473725,FALSE,19,85,1106,5,2.2,200,24.4,62.9,65.5,30,30,80,99,0.808,25,65,0.385,98,143,0.685,106,166,0.639,2.9,1,0.090415913,5,0.452079566,0.2,19,24.4,62.9,65.5,30,30,80,99,0.808,25,65,0.385,98,143,0.685,106,166,0.639,2.9,1,5,0.2,19,24.4,62.9,65.5,30,30,80,99,0.808,25,65,0.385,98,143,0.685,106,166,0.639,2.9,1,5,0.2,2.79,6.52,2.73,5.91,114.3,16.3
0.090441141,0.179076555,FALSE,21,81,1871,4.9,1.9,281,28,54,56.9,31,32,129,175,0.737,126,291,0.433,133,194,0.686,255,466,0.547,3.1,3,0.160342063,15,0.801710315,0.2,20,21.7,56.3,60.7,31,31,113,163,0.693,43,112,0.384,97,126,0.77,156,275,0.567,0.7,0,2,0,20,21.7,56.3,60.7,31,31,113,163,0.693,43,112,0.384,97,126,0.77,156,275,0.567,0.7,0,2,0,2.51,4.67,1.88,2.56,105.3,14.6
0.105303846,0.353332627,FALSE,20,85,1602,5,2.8,266,19,62.7,62.7,79,81,141,180,0.783,12,38,0.316,53,89,0.596,153,218,0.702,18.7,10,0.624219725,50,3.121098627,0.2,20,19,62.7,62.7,79,81,141,180,0.783,12,38,0.316,53,89,0.596,153,218,0.702,18.7,10,50,0.2,20,19,62.7,62.7,79,81,141,180,0.783,12,38,0.316,53,89,0.596,153,218,0.702,18.7,10,50,0.2,2.07,6.11,2.19,4.28,109.6,27.1
0.299959331,0.265336496,FALSE,20,79,1765,3.9,3.3,576,20.9,51.3,57.3,40,43,91,127,0.717,41,119,0.345,145,205,0.707,132,246,0.537,10.5,6,0.339943343,29,1.64305949,0.207,19,20.4,49.4,54.4,28,30,92,132,0.697,27,105,0.257,103,151,0.682,119,237,0.502,4,2,10,0.2,19,20.4,49.4,54.4,28,30,92,132,0.697,27,105,0.257,103,151,0.682,119,237,0.502,4,2,10,0.2,4.2,8.4,2.58,4.27,116.7,31.7
0.988599565,0.440613557,FALSE,19,82,2089,4.5,2.9,305,18.6,48.9,53.8,14,15,87,138,0.63,36,93,0.387,102,140,0.729,125,237,0.527,23.1,17,0.813786501,71,3.398755385,0.239,19,18.6,48.9,53.8,14,15,87,138,0.63,36,93,0.387,102,140,0.729,125,237,0.527,23.1,17,71,0.239,19,18.6,48.9,53.8,14,15,87,138,0.63,36,93,0.387,102,140,0.729,125,237,0.527,23.1,17,71,0.239,2.15,5.75,1.36,3.47,111.5,25.8
0.490502294,0.588467726,FALSE,21,81,1325,3.1,1.8,-168,22.8,44.6,48.6,3,5,44,73,0.603,22,60,0.367,56,84,0.667,66,133,0.496,37.3,19,1.433962264,79,5.962264151,0.241,21,22.8,44.6,48.6,3,5,44,73,0.603,22,60,0.367,56,84,0.667,66,133,0.496,37.3,19,79,0.241,21,22.8,44.6,48.6,3,5,44,73,0.603,22,60,0.367,56,84,0.667,66,133,0.496,37.3,19,79,0.241,-0.66,0.68,0.16,2.09,96.4,0.7
0.598453173,0.457382332,FALSE,19,75,1996,1.3,1.2,365,27.6,49.7,54.8,20,21,131,203,0.645,66,176,0.375,156,211,0.739,197,379,0.52,15.4,17,0.851703407,69,3.456913828,0.246,19,27.6,49.7,54.8,20,21,131,203,0.645,66,176,0.375,156,211,0.739,197,379,0.52,15.4,17,69,0.246,19,27.6,49.7,54.8,20,21,131,203,0.645,66,176,0.375,156,211,0.739,197,379,0.52,15.4,17,69,0.246,4.18,6.75,3.35,4.74,117.6,29.1
0,0.128416374,FALSE,19,81,1516,5,1.7,114,23.4,61.9,64.6,58,61,135,186,0.726,39,94,0.415,103,143,0.72,175,281,0.623,1.4,1,0.065963061,4,0.263852243,0.25,19,23.4,61.9,64.6,58,61,135,186,0.726,39,94,0.415,103,143,0.72,175,281,0.623,1.4,1,4,0.25,19,23.4,61.9,64.6,58,61,135,186,0.726,39,94,0.415,103,143,0.72,175,281,0.623,1.4,1,4,0.25,2.03,4.07,1.48,2.74,104.5,15.2
0.444609604,0.192735836,FALSE,19,83,1346,5,2.2,276,24.2,57,62.7,22,24,87,121,0.719,56,128,0.438,109,134,0.813,143,248,0.577,3.1,2,0.14858841,8,0.59435364,0.25,19,24.2,57,62.7,22,24,87,121,0.719,56,128,0.438,109,134,0.813,143,248,0.577,3.1,2,8,0.25,19,24.2,57,62.7,22,24,87,121,0.719,56,128,0.438,109,134,0.813,143,248,0.577,3.1,2,8,0.25,3.57,7.42,3.48,5.79,108,17.4
